Word Number	Frequency	Arabic	English					
1	2285403	لا	No 					
2	2229495	من	Of 					
3	1789391	في	In 					
4	1761748	أن	That 					
5	1624794	هذا	This is 					
6	1199572	على	On 					
7	1113465	ما	What 					
8	984375	أنا	I  					
9	976099	هل	Is  		Top 100 Word List Link			Facebook
10	919235	و	And  		Top 1000 Word List Link			Twitter
11	860271	يا	O  		Top 5000 Word List Link			Google+
12	858941	ذلك	So  					
13	823431	لقد	I have  					
14	715419	لم	Not  					
15	701269	ماذا	What  					
16	641165	هنا	Here  					
17	621651	كان	Was  					
18	583468	أنت	You are  					
19	570718	إلى	To  					
20	530315	هو	Is  					
21	506249	هذه	These  					
22	502371	عن	About  					
23	482499	ان	The  					
24	469739	نعم	Yes  					
25	435718	هناك	There are  					
26	423196	كل	All  					
27	397404	ليس	Not  					
28	394751	كنت	I  					
29	380393	فقط	Only  					
30	362353	الآن	Now  					
31	361039	مع	With  					
32	359543	شيء	Something  					
33	354829	الذي	Which  					
34	332688	لكن	But  					
35	305385	يجب	Must be  					
36	303055	لك	You  					
37	294929	لن	Will not be  					
38	291046	كيف	How do  					
39	283272	أجل	For  					
40	274813	انا	I am  					
41	260602	حسنا	Well  					
42	252792	فى	In  					
43	245719	لي	Lee  					
44	243611	نحن	We are  					
45	240334	سوف	Will  					
46	238142	إنه	It is  					
47	236024	كانت	The  					
48	235308	عندما	When  					
49	233325	إذا	If  					
50	229313	لماذا	Why  					
51	224515	أي	Ie  					
52	222385	قد	Has  					
53	221089	أنه	That  					
54	220992	الأمر	It  					
55	220455	هي	Is  					
56	212768	بعد	After  					
57	212334	كذلك	As well as  					
58	208117	حتى	Up to  					
59	190978	انه	He  					
60	189708	قبل	Before  					
61	189218	أو	Or  					
62	185476	لو	Le  					
63	183022	أين	Where  					
64	181150	التي	Which  					
65	180415	الى	To  					
66	180190	ولكن	But  					
67	179292	هيا	Come on  					
68	175170	تلك	Those  					
69	175118	ربما	Maybe  					
70	173486	إنها	It is  					
71	173406	أعرف	I know  					
72	167219	بعض	Some  					
73	167208	يكون	Be  					
74	ـ166861	…	…					
75	161030	أريد	I want to  thousand					
76	160392	انت	You are  					
77	158297	إن	The  					
78	155021	أعتقد	I think  					
79	150035	مثل	Such as  					
80	148139	عليك	You have  					
81	147421	به	By  					
82	142587	بخير	Fine  					
83	142180	أنك	You  thousand					
84	142011	صحيح	True  					
85	140531	الوقت	Time  					
86	136110	أحد	A  					
87	134997	شخص	Person  					
88	133399	رجل	Man  					
89	131838	أعلم	I know  					
90	126410	جيد	Good  					
91	126293	أكثر	More than  					
92	125708	تكون	Be  					
93	125132	علي	Ali  					
94	125018	يمكن	Can  					
95	124341	لذا	So  					
96	124035	كما	As  					
97	121453	اليوم	Today  					
98	121273	يبدو	It seems  					
99	120874	أليس	Alice  					
100	120224	انها	It's  					
101	114143	يمكنك	You can  					
102	112521	لدي	I have  					
103	112493	كلا	Both  					
104	112383	آخر	Another  					
105	112326	عليه	It  					
106	111880	منذ	Since  					
107	110772	لست	I'm not  					
108	109920	غير	Is  					
109	109564	أيها	O  					
110	107405	لديك	You have  					
111	107094	تريد	Want  					
112	106337	أستطيع	I  					
113	106116	الرجل	Men  					
114	104753	تعرف	Know  					
115	101819	له	Has  					
116	100051	مرة	Once  					
117	99024	بأن	That  					
118	98597	لدينا	We have  					
119	97971	واحد	One  					
120	97877	شئ	Nothing 					
121	97188	يمكنني	I  					
122	96374	أنها	It  					
123	95502	حدث	Event  					
124	94814	بها	By  					
125	94072	الناس	People 					
126	93518	ليست	Not  					
127	93359	سيكون	Will be  					
128	93051	أوه	Oh 					
129	91959	أنني	I  					
130	90799	أفضل	Best  					
131	90370	مكان	Place  					
132	90063	تفعل	Do  					
133	90025	سيدي	Sir 					
134	89904	يكن	Not  					
135	89889	الكثير	Lot  					
136	89575	اذا	If  					
137	89389	بهذا	This  					
138	88205	وقت	Time 					
139	86762	جدا	Very  					
140	85756	بي	My  					
141	85057	علينا	We have  					
142	83497	أخرى	Others  					
143	83331	رائع	Fantastic  					
144	82972	آسف	Sorry  					
145	82457	بذلك	Thus  					
146	81557	بك	Your  					
147	81328	كم	Km  					
148	79792	وأنا	I  					
149	79666	يوجد	There are  					
150	76584	يحدث	  happen					
151	75700	واحدة	One 					
152	74635	قلت	I said 					
153	73889	ثم	Then  					
154	73586	يوم	Day  					
155	73421	سيد	Mr 					
156	73279	مرحبا	Hello  					
157	72936	معك	With you  					
158	72473	شكرا	Thanks  					
159	72091	أبي	Dad  					
160	71928	معي	With me  					
161	71707	ولا	And  					
162	70640	تعلم	Learn  					
163	70311	لها	Her  					
164	69819	بالطبع	"Of course	  "					
165	69761	إذن	So  					
166	69127	الليلة	Tonight  					
167	68203	العمل	Work  					
168	67966	المكان	Location  					
